NodeId:58146	1.0,0.0
NodeId:3480	1.0,0.0,44
NodeId:35541	1.0,0.0,4486,64680
NodeId:13356	1.0,0.0,18,685
NodeId:70175	1.0,0.0,63001,71203,71204
NodeId:51829	1.0,0.0
NodeId:11542	1.0,0.0,136,556,582,686,726,1207,1546,2019,3448,3984,5177,6053,6866,8514,12450,16959,23306,24605,49622,49623,49624,49625
NodeId:11543	1.0,0.0,556,582,1446,1494,1912,4061,4978,5814,5829,5958,15653,18799,20568,49627,49628
NodeId:11540	1.0,0.0,27,46,556,850,1014
NodeId:11541	1.0,0.0,556,790,973,1191,1909,5600,7929,12191,26746,31199,39156,39157,49619,49620
NodeId:11546	1.0,0.0,556,699,46169
NodeId:11547	1.0,0.0,556,611,1516,1620,2324,2386,49632
NodeId:11544	1.0,0.0,1,143,556,644,771,790,932,1577,1766,1776,2115,2228,2826,4111,4416,4577,5636,6949,7310,7579,10937,11495,11519,14782,26685
NodeId:11545	1.0,0.0,28,136,556,644,645,726,780,786,1200,1516,1531,1617,2160,2161,2186,2826,3507,4116,4426,4523,4541,4598,4611,5161,5491,6176,6285,6680,6968,8374,9292,11544,11643,12252,12357,12639,12642,12644,12647,12651,15409,16260,18472,20381,20501,21103,24538,32914,49629,49630,49631
NodeId:67176	1.0,0.0,45351
NodeId:11548	1.0,0.0,66,438,556,644,669,944,1200,1678,2224,2955,2995,4570,4579,4602,4604,4608,10661,10970,11252,11523,11549,11551,12609,12618,12640,12653,22422
NodeId:11549	1.0,0.0,66,556,644,671,944,1200,1566,1678,1713,2955,2995,4555,4569,4579,4602,4604,4608,5161,5537,8616,10281,10661,10970,11252,11523,11551,12609,12611,12618,22422
NodeId:73626	1.0,0.0,2464,75529
NodeId:5988	1.0,0.0,112,128,1495
NodeId:5989	1.0,0.0,112,1207,1897,3499,9078,9335,20163,40177
NodeId:29684	1.0,0.0,3077
NodeId:19399	1.0,0.0,1430,15210,19406,25997,56304
NodeId:19398	1.0,0.0,18,1390,1430,10606,15765,30951
NodeId:5982	1.0,0.0,112,440,526,790,791,920,1190,1429,1446,1753,1851,1911,2285,2696,3523,3920,3923,3946,4413,5224,5227,6594,7104,7412,11230,11239,11249,12542,12913,15661,15937,16835,16854,17166,17666,19385,20068,22918,23991,28701,30435,33028,36665,40164,40165,40166,40167,40168,40169
NodeId:19396	1.0,0.0,143,1178,1438,3272,3473,4876,5140,5952,6634
NodeId:19395	1.0,0.0,28,1401,1623,3281,4415,7932,56713,56714
NodeId:5981	1.0,0.0,112,128,5977
NodeId:5986	1.0,0.0,112,118,301,717,3276,40173
NodeId:5987	1.0,0.0,112,126,385,780,824,898,1207,1432,1495,1516,1649,1900,2059,2108,2144,2168,2688,3321,3860,3863,3875,3879,3882,3886,4918,4964,4967,5317,5905,6437,6477,6497,6499,7640,8374,8453,8720,8727,8730,8732,9089,9821,12222,12246,12899,12908,12919,14559,15809,18372,19136,21347,32822,40174,40175,40176
NodeId:19391	1.0,0.0,1429,4223,7035,8183,14570,23294,33235,33236,33237,33238,33239,33240,38917,56711
NodeId:19390	1.0,0.0,1429,1817,3410,3655,4282,4518,7047,8183,10312,10313,11560,12244,14108,16946,19898,20196,24027,31805,32056,32059,32062,32063,32065,32074,32086,32091,32094,35689,46680,47907,56707,56708,56709
NodeId:65776	1.0,0.0,39781
NodeId:35549	1.0,0.0,4490,64685
NodeId:58140	1.0,0.0,790,21088,69506
NodeId:57481	1.0,0.0
NodeId:73390	1.0,0.0,3685
NodeId:57480	1.0,0.0
NodeId:28567	1.0,0.0,2713,4415,19012
NodeId:57483	1.0,0.0
NodeId:57482	1.0,0.0,1274,22358,44173,64045,69404
NodeId:57485	1.0,0.0,20278
NodeId:73394	1.0,0.0,130
NodeId:53905	1.0,0.0
NodeId:53906	1.0,0.0,15848
NodeId:46139	1.0,0.0,8802
NodeId:10550	1.0,0.0,436,1619,1894,2251,2687,2985,3860,8733,9330,9333,9341,10417,10434,10559,11968,20438,27718,32989
NodeId:46137	1.0,0.0
NodeId:46136	1.0,0.0,8803
NodeId:46135	1.0,0.0,8802
NodeId:53907	1.0,0.0,15849,37551,53908,68816
NodeId:46133	1.0,0.0,8796
NodeId:46132	1.0,0.0,8796
NodeId:46131	1.0,0.0
NodeId:46130	1.0,0.0,8795,65960
NodeId:53908	1.0,0.0,15849,37551,53907,60021
NodeId:57488	1.0,0.0
NodeId:73623	1.0,0.0,398
NodeId:64779	1.0,0.0,35901
NodeId:28561	1.0,0.0,2710
NodeId:29237	1.0,0.0,2958
NodeId:60834	1.0,0.0,25371
NodeId:11879	1.0,0.0,590
NodeId:270	1.0,0.0,0,10,12,18,22,27,34,61,72,81,127,128,210,326,371,382,405,408,426,427,449,550,689,723,729,730,736,965,1387,2115,2389,2678,2933,3182,3338,3917,4031,4880,71384
NodeId:271	1.0,0.0,0
NodeId:272	1.0,0.0,0,27,98,117,295,336,401,410,434,1176,2092,3421,4870,5423,8353
NodeId:273	1.0,0.0,0,18,31,297,440,8354
NodeId:16709	1.0,0.0,46,374,879,1005,2528,5382,54651
NodeId:275	1.0,0.0,0
NodeId:276	1.0,0.0,0,67,143,449,555,1024,1179,1399,1436,1751,2631,2649,2694,2969,3507,5250,7114,8367,8368,8369,8370,8371,8372,8373,8374,8375,8376,8377
NodeId:277	1.0,0.0,0,2,18,29,40,43,59,62,76,79,81,83,89,90,101,107,108,111,123,124,127,164,289,293,330,354,378,401,413,437,523,555,609,636,639,745,783,830,879,997,1256,1274,1304,1308,1313,1409,1516,1561,1574,1581,1609,1712,1934,2030,2115,2164,2218,2414,2464,2512,2558,2729,2864,2865,3120,3174,3187,3394,3601,3854,4325,5078,5386,5930,5933,5934,6078,6990,8288,8378,8379,8380
NodeId:278	1.0,0.0,0,1613
NodeId:279	1.0,0.0,0,1,4,5,8,10,11,12,14,18,19,21,27,28,29,30,31,32,33,34,37,44,46,48,49,50,51,57,65,66,71,72,73,77,78,79,81,88,89,90,96,101,102,103,104,116,117,118,122,125,127,128,135,138,140,153,154,158,159,165,169,178,195,210,222,225,235,243,289,290,295,310,311,312,314,325,326,329,331,333,345,349,354,357,360,365,369,374,375,381,382,383,385,387,388,390,391,395,396,398,400,401,406,411,412,413,418,426,427,428,432,433,440,443,447,451,452,534,546,549,550,551,558,563,565,575,581,586,590,634,639,663,664,681,683,689,715,716,717,719,722,723,725,726,728,729,735,737,745,746,768,776,777,778,780,782,790,801,844,847,848,849,853,854,860,863,879,918,923,952,954,965,972,973,975,986,989,993,994,998,999,1004,1009,1013,1014,1015,1018,1024,1029,1037,1102,1111,1114,1123,1124,1129,1145,1163,1167,1177,1179,1182,1251,1254,1258,1259,1268,1272,1280,1288,1296,1304,1315,1370,1401,1412,1423,1434,1463,1521,1561,1574,1587,1596,1607,1646,1658,1673,1709,1712,1713,1715,1716,1738,1741,1747,1753,1755,1758,1806,1812,1903,1918,1933,1934,1955,1975,2023,2025,2029,2030,2065,2069,2110,2115,2215,2218,2222,2224,2234,2294,2303,2305,2312,2318,2319,2326,2344,2362,2369,2370,2377,2380,2423,2444,2446,2495,2497,2525,2528,2551,2563,2695,2710,2757,2792,2793,2816,2861,2864,2871,2897,2904,2969,2991,2995,3005,3062,3178,3219,3257,3285,3286,3350,3368,3403,3540,3582,3601,3659,3687,3979,4030,4325,4407,4411,4415,4454,4523,4697,4701,4741,4939,4955,4969,5064,5128,5199,5359,5414,5814,5908,5933,5947,5952,6138,6140,6900,6978,7249,7250,7253,7301,7387,7590,7599,7608,7687,7693,8040,8072,8136,8363,8364,8392,8393,8394,8395,8396,8397,8398,8399,8400,8401,8402,8404,8405,8406,8407,8408,8409,8410,8411,8412,8413,8561,8649,9788,11433,14476,17735,17819,18318,27812,30262,68107,71382,71398,71400,72211,72212
NodeId:16707	1.0,0.0,1005,5675,9720,16706,21958
NodeId:16706	1.0,0.0,16707
NodeId:16701	1.0,0.0,860,1004,1028,1093,1301,1754,3143,4862,7168,7172,7177,7190,7200,10606,13148,28135,28145
NodeId:16700	1.0,0.0,1004,1028,1432,2946,4040,54646,54647
NodeId:16703	1.0,0.0,1004
NodeId:16702	1.0,0.0,725,1004,1401,2864,3505,4969,5952,6078,6812,6820,7932,8363,8526,13335
NodeId:46704	1.0,0.0,9180
NodeId:12019	1.0,0.0,104,1219,2070,2119,2120,2501,3432,4133,6032,15312,19289,50224
NodeId:12018	1.0,0.0,606
NodeId:28562	1.0,0.0,2712,6734,6737,42007
NodeId:42086	1.0,0.0
NodeId:12015	1.0,0.0,604,1027,2512,14633
NodeId:12014	1.0,0.0,603
NodeId:12017	1.0,0.0,1166
NodeId:12016	1.0,0.0,0,34,59,1352,1431,1494,15100,18352,20329,50221,50222
NodeId:12011	1.0,0.0,602,748,955,7365
NodeId:12010	1.0,0.0,601,637
NodeId:12013	1.0,0.0
NodeId:12012	1.0,0.0,602,5271
NodeId:17258	1.0,0.0,15653,55102
NodeId:17259	1.0,0.0,10252
NodeId:64676	1.0,0.0,35516
NodeId:64677	1.0,0.0,35516,54010,61357
NodeId:64670	1.0,0.0,35514
NodeId:64671	1.0,0.0,35515
NodeId:64672	1.0,0.0,35515
NodeId:64673	1.0,0.0,35515,37879
NodeId:17250	1.0,0.0,1098
NodeId:17251	1.0,0.0,7778,21938,22348,55093
NodeId:17252	1.0,0.0,32612
NodeId:17253	1.0,0.0
NodeId:17254	1.0,0.0
NodeId:17255	1.0,0.0,1102
NodeId:17256	1.0,0.0,130,9665,23677,55101
NodeId:17257	1.0,0.0
NodeId:63024	1.0,0.0,70177
NodeId:63025	1.0,0.0,31101
NodeId:53739	1.0,0.0
NodeId:10708	1.0,0.0
NodeId:28563	1.0,0.0,2712
NodeId:63021	1.0,0.0,31098
NodeId:9258	1.0,0.0,342,385,693,997,1227,1379,1524,1623,1638,1845,1896,2138,2401,2775,3827,4416,4571,4918,5908,6005,6458,6668,6669,6686,7401,7722,9102,10413,11246,12770,15948,16250,16537,17352,17966,18842,19741,19881,21180,22360,22539,24033,24038,24044,24441,25049,31232,32801,35187,37151,38948,46751,46752,46753,46754,46755,46756,46757,46758,46759,46760,71399
NodeId:9259	1.0,0.0,342,9260
NodeId:9256	1.0,0.0,780,5038,6509,20381
NodeId:9257	1.0,0.0,18,436,707,1164,1620,2052,4162,4924,4984,17429
NodeId:9254	1.0,0.0,18,374,411,637,763,1008,1158,2227,2969,3033,3241,5934,46749
NodeId:9255	1.0,0.0
NodeId:9252	1.0,0.0,18,342,398,646,1441,2212,3859,3867,4118,8351,8989,10797,12802,14385,16377,22875,23787,29660,46744,46745,46746,46747
NodeId:9253	1.0,0.0,27,342,439,1882,3181
NodeId:9250	1.0,0.0,342,3346,5502,46743
NodeId:9251	1.0,0.0,2464,5412
NodeId:46793	1.0,0.0,136,9294,22840
NodeId:46792	1.0,0.0,9294,12771,51136
NodeId:46791	1.0,0.0
NodeId:46790	1.0,0.0
NodeId:49569	1.0,0.0,11481
NodeId:21618	1.0,0.0,1614
NodeId:46795	1.0,0.0,9294
NodeId:46794	1.0,0.0,1621,9294,41915,66559
NodeId:21615	1.0,0.0,1614,6582,41410,41416,58456,58457
NodeId:49564	1.0,0.0,11478
NodeId:46799	1.0,0.0
NodeId:21616	1.0,0.0,790,1614,3014,3459,3514,4282,4484,5646,6631,12588,16937,26460,35490,58460
NodeId:21611	1.0,0.0,1614,4265,14532,21605,21608,52665,58454
NodeId:21610	1.0,0.0
NodeId:49563	1.0,0.0,4416,11475,49561,49562
NodeId:49562	1.0,0.0,11475
NodeId:54541	1.0,0.0
NodeId:43260	1.0,0.0,7304
NodeId:19397	1.0,0.0,1430
NodeId:69172	1.0,0.0,56089
NodeId:69173	1.0,0.0,56089
NodeId:69174	1.0,0.0,56089
NodeId:69175	1.0,0.0,56089
NodeId:45448	1.0,0.0,8375
NodeId:45449	1.0,0.0
NodeId:69178	1.0,0.0,56118
NodeId:45447	1.0,0.0,8374
NodeId:45444	1.0,0.0,8374,45442
NodeId:45445	1.0,0.0,8374
NodeId:45442	1.0,0.0,8374,45444
NodeId:5980	1.0,0.0,1,112,128,136,617,641,708,735,738,791,874,920,1190,1396,1398,1429,1446,1453,1617,1619,1621,1719,1830,1894,1897,1907,1909,1912,2655,2685,2696,2705,2748,3533,3534,3703,3923,4118,4169,4282,4416,4500,4508,4511,4515,4555,4952,4958,5038,5206,5223,5241,5503,5955,5958,5968,5977,5979,6484,6562,6586,6594,6596,6598,6599,6601,6656,6658,7252,7314,7522,7692,8183,8953,10506,11202,11429,11968,12627,13387,14514,14541,14600,14645,15660,15941,15942,16571,16723,16850,18218,18264,18488,19055,19355,19363,19378,19381,19387,19389,19716,20148,21686,21982,24782,24783,31671,37542,37989,40157,40158,40159
NodeId:45440	1.0,0.0,8370
NodeId:45441	1.0,0.0
NodeId:44799	1.0,0.0
NodeId:44798	1.0,0.0,7969,67007
NodeId:54540	1.0,0.0
NodeId:19394	1.0,0.0,1429
NodeId:60372	1.0,0.0,24540,45274
NodeId:62369	1.0,0.0,29266,70092
NodeId:44791	1.0,0.0,107
NodeId:44790	1.0,0.0,7961,19608
NodeId:44793	1.0,0.0,7966
NodeId:44792	1.0,0.0,7961
NodeId:44795	1.0,0.0,7969
NodeId:44794	1.0,0.0,7969
NodeId:43261	1.0,0.0,7304,54240
NodeId:44796	1.0,0.0
NodeId:46869	1.0,0.0
NodeId:46868	1.0,0.0
NodeId:48622	1.0,0.0
NodeId:58079	1.0,0.0,21006
NodeId:5984	1.0,0.0,112,5978,5983
NodeId:46861	1.0,0.0,9324
NodeId:48625	1.0,0.0
NodeId:46863	1.0,0.0,9324
NodeId:46862	1.0,0.0
NodeId:58071	1.0,0.0,20990
NodeId:58070	1.0,0.0
NodeId:46867	1.0,0.0
NodeId:46866	1.0,0.0,429,9330,9333,10434,10565,10567,13036
NodeId:29236	1.0,0.0,2958
NodeId:31677	1.0,0.0,3523,13512
NodeId:60835	1.0,0.0,25374
NodeId:48627	1.0,0.0
NodeId:48626	1.0,0.0,10736,31377
NodeId:22746	1.0,0.0,1722
NodeId:20159	1.0,0.0,1476
NodeId:20158	1.0,0.0,1476
NodeId:54542	1.0,0.0
NodeId:58706	1.0,0.0,21873
NodeId:22747	1.0,0.0
NodeId:22269	1.0,0.0,1661
NodeId:64776	1.0,0.0,35893
NodeId:69886	1.0,0.0
NodeId:51822	1.0,0.0,18,13341,51820,51821
NodeId:22744	1.0,0.0,1720,23250,59251
NodeId:13058	1.0,0.0,659,2541,5628,6112,12255,13049,13053,13054,13055,13057,13059,13060,13064,18504
NodeId:13059	1.0,0.0,659,2541,5628,6112,11543,12242,12255,12742,13049,13053,13054,13055,13057,13060,13064,18504
NodeId:51825	1.0,0.0
NodeId:13052	1.0,0.0
NodeId:13053	1.0,0.0,659,2541,5628,12255,13054,13055,13057,13058,13059,13060,13064,18504
NodeId:13050	1.0,0.0,659,2992,3993,4957,5343,6104,20529,33412
NodeId:13051	1.0,0.0,659,2432,19138
NodeId:13056	1.0,0.0,659,1510,2541,2652,2713,4544,4964,5259,5315,6104,6176,6459,6615,13060,18513,20396,21096,49761
NodeId:13057	1.0,0.0,34,659,2541,5628,6112,12255,13049,13053,13054,13055,13058,13059,13060,13064,18504
NodeId:13054	1.0,0.0,659,2541,5628,12255,13055,13057,13058,13059,13060,18504
NodeId:13055	1.0,0.0,659,661,2541,3966,5276,5311,5320,5628,5805,6102,6112,12242,12742,13040,13053,13054,13057,13058,13059,13060,13064,18504
NodeId:54170	1.0,0.0
NodeId:54171	1.0,0.0,16183,68861
NodeId:54172	1.0,0.0
NodeId:54173	1.0,0.0
NodeId:54174	1.0,0.0
NodeId:54175	1.0,0.0,16187
NodeId:54176	1.0,0.0,16188
NodeId:54177	1.0,0.0
NodeId:54178	1.0,0.0
NodeId:54179	1.0,0.0,16194
NodeId:51824	1.0,0.0,13345
NodeId:62088	1.0,0.0,28517
NodeId:62085	1.0,0.0,28510
NodeId:62084	1.0,0.0,28510,38950
NodeId:62087	1.0,0.0,28517
NodeId:62086	1.0,0.0,28517,35446
NodeId:68800	1.0,0.0,53818
NodeId:62080	1.0,0.0,28509,70050
NodeId:62083	1.0,0.0,28510
NodeId:62082	1.0,0.0,28510,70052,71424
